,nav,cost,slippage,tax,turnover,n_holdings
2004-11-19,3715036.3415680584,0.0,0.0,0.0,0.0,10
2004-11-22,3744938.6411046246,0.0,0.0,0.0,0.0,10
2004-11-23,3802518.2368289353,0.0,0.0,0.0,0.0,10
2004-11-24,3836955.1955180084,0.0,0.0,0.0,0.0,10
2004-11-26,3810921.1053565172,0.0,0.0,0.0,0.0,10
2004-11-29,3840561.9589365553,0.0,0.0,0.0,0.0,10
2004-11-30,3894622.7847550726,0.0,0.0,0.0,0.0,10
2004-12-01,4052709.8091273084,0.0,0.0,0.0,0.0,10
2004-12-02,4062379.1285766475,0.0,0.0,0.0,0.0,10
2004-12-03,4080930.594263833,0.0,0.0,0.0,0.0,10
2004-12-06,4059362.76794435,0.0,0.0,0.0,0.0,10
2004-12-07,3916291.4994409997,0.0,0.0,0.0,0.0,10
2004-12-08,3963664.565662317,0.0,0.0,0.0,0.0,10
2004-12-09,3932553.302641196,0.0,0.0,0.0,0.0,10
2004-12-10,3963792.556076847,0.0,0.0,0.0,0.0,10
2004-12-13,4072717.0609342055,0.0,0.0,0.0,0.0,10
2004-12-14,4074296.8386295214,0.0,0.0,0.0,0.0,10
2004-12-15,4102607.236365279,0.0,0.0,0.0,0.0,10
2004-12-16,4085190.623801049,0.0,0.0,0.0,0.0,10
2004-12-17,4082404.2546379482,0.0,0.0,0.0,0.0,10
2004-12-20,4060326.972876478,0.0,0.0,0.0,0.0,10
2004-12-21,4160368.768165785,0.0,0.0,0.0,0.0,10
2004-12-22,4175329.0621332414,0.0,0.0,0.0,0.0,10
2004-12-23,4201871.293639995,0.0,0.0,0.0,0.0,10
2004-12-27,4181077.1805967847,0.0,0.0,0.0,0.0,10
2004-12-28,4260284.919366051,0.0,0.0,0.0,0.0,10
2004-12-29,4314298.094095966,0.0,0.0,0.0,0.0,10
2004-12-30,4329565.137886258,0.0,0.0,0.0,0.0,10
